data_name,seed,train_prerank,train_time_seconds,epochs_trained,best_epoch,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf
households,0,cdf,691.1303912389558,219,203,3.356252710024516,0.9716897010803224,0.6855177183945974,0.0465538756301005,0.068678098420302,0.1392788017789522,0.0206676417340834,0.069724162419637,0.0857758385439713,0.0288786133751273
households,42,cdf,631.5750475791283,194,178,3.336008866628011,0.9554158945878348,0.6654196182886759,0.0460741377125183,0.0515189208090305,0.1320399940013885,0.0244360597183307,0.0567714963108301,0.0671947685380776,0.0337029577543338
households,866,cdf,722.5777000321541,221,205,3.3841156562169394,0.954384078582128,0.6739117304484049,0.0471404666701952,0.0599655093004306,0.125058085968097,0.0155860804952681,0.0652828272432088,0.0909674602250258,0.0308830772216121
households,12,cdf,573.382121902192,174,158,3.294457991917928,0.9495976269245148,0.6645780801773071,0.0406344340493281,0.0618512220680713,0.1272225131591161,0.0183610351135333,0.0598098834355672,0.061519597346584,0.0286049783850709
households,4,cdf,645.2992870779708,195,179,3.303984800974528,0.9237233301003774,0.632809599240621,0.051608902712663,0.0549265493949254,0.1210825716455777,0.0208519723576804,0.0600417678554852,0.0731809331725041,0.0287965703755617
air,0,cdf,626.6964847499039,139,123,5.848572397232056,1.467764103412628,1.0699716687202454,0.0605689004063606,0.0910087049007415,0.1751669995486736,0.0601766433566808,0.0754408124834299,0.0561161939054727,0.0253415289334952
air,42,cdf,926.2948079749476,203,187,5.772433376312256,1.4435373783111571,0.997939795255661,0.0669008567929267,0.1072516344487667,0.2074944123625755,0.0574143171310424,0.0896021649241447,0.0819448713213205,0.0306949593126773
air,866,cdf,812.0904661400709,168,152,5.510354518890381,1.3910931587219235,0.8766677558422089,0.0555909480899572,0.0914603538811206,0.1960624501109123,0.0487708395346999,0.0789493039250373,0.0671631176024675,0.0320261463522911
air,12,cdf,560.2291373158805,113,105,5.977956247329712,1.474159598350525,0.9945913672447204,0.0617838863283395,0.1001216486096382,0.2183091476559639,0.0646340440958738,0.0899439230561256,0.0659280862659215,0.0350800406187772
air,4,cdf,781.5009732791223,159,143,5.784610557556152,1.485843551158905,1.036567372083664,0.0660965878516435,0.101870733872056,0.1980290114879608,0.0517859732732176,0.09096165522933,0.0762009132653474,0.0300074895843863
births1,0,cdf,630.9111527479254,136,120,1.5212934851646422,0.7236983418464661,0.8640999376773835,0.0458504825830459,0.0545796297490596,0.0913788817822933,0.090366643667221,0.054342033714056,0.1151391573250293,0.0297925068996846
