data_name,seed,train_prerank,train_time_seconds,epochs_trained,best_epoch,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf
wage,0,mean,212.0013216980733,177,161,2.296748852729797,0.7065846741199493,0.6635639727115631,0.0405369896441698,0.0289334468543529,0.0563047636300325,0.0593692380934953,0.0345253953710198,0.0429241746664047,0.0294999039731919
wage,42,mean,26.40256432583556,21,5,2.9188573598861693,0.9088587164878844,1.0194829523563385,0.1370270162820816,0.0960762560367584,0.1983390763401985,0.1973865762352943,0.1050683312118053,0.3336646199226379,0.1448173820972442
wage,866,mean,96.37943536788224,75,59,0.4366843074560165,0.7435115218162537,0.746923291683197,0.1015248551964759,0.0240639885887503,0.1139677263796329,0.1163285888731479,0.0658676534891128,0.4128695100545883,0.078055427595973
wage,12,mean,116.84427172411232,92,76,0.773972450196743,0.7305180847644805,0.7201706528663635,0.089024119824171,0.0288947476074099,0.1214590385556221,0.1208354890346527,0.0548346880823373,0.3716496407985687,0.0672258745878934
wage,4,mean,29.719257530989125,23,7,2.848583459854126,0.8950263559818268,0.9957684874534608,0.127628556638956,0.0921048611402511,0.1743661180138588,0.1750392109155654,0.0993952184915542,0.3113102614879608,0.1400705404579639
households,0,mean,164.65965273207985,147,131,3.4251596530278525,0.980897625287374,0.6758695642153422,0.054152421032389,0.0229493627945582,0.0949567593634128,0.0214987598980466,0.0447832159698009,0.0485331695526838,0.0936043076217174
households,42,mean,193.55915383598767,167,151,3.455038070678711,0.9572786192099252,0.6407905320326487,0.0541914086788892,0.0208699355522791,0.0893826745450496,0.0228225369937717,0.0360525182137886,0.0371722889443238,0.0984520713488261
households,866,mean,212.172122013988,183,167,3.344230055809021,0.9444949726263682,0.6397796968619028,0.0446630443135897,0.0194601652522881,0.081618965913852,0.0212196940556168,0.0386117696762084,0.0456063617020845,0.0801872697969277
households,12,mean,170.2569344700314,148,132,3.431966702143351,0.9435592691103616,0.6254533380270004,0.0482763480395078,0.0222223781359692,0.1130083637932936,0.0175813372867802,0.0357503797858953,0.0556678262849648,0.0928583728770415
households,4,mean,211.23964644386436,181,173,3.199079791704813,0.9317727585633596,0.6236962080001831,0.0489339182774225,0.0324393998210628,0.0700555096069971,0.0191578995436429,0.0344405298431714,0.0241056497519214,0.0905118671556313
