data_name,seed,train_prerank,train_time_seconds,epochs_trained,best_epoch,nll,energy,mse,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf
households,0,pca,140.70951983299983,118,102,3.355270187060038,0.943208783864975,0.6468480825424194,0.09663734088341396,0.0968133993446827,0.14236915111541748,0.020857445430010557,0.07305675745010376,0.11772892996668816,0.151710024724404
households,42,pca,177.3482763259999,145,129,3.1470085779825845,0.9171964128812155,0.6217517157395681,0.10204378515481949,0.09802065541346867,0.11142881587147713,0.02706550480797887,0.07590869441628456,0.09325119977196057,0.16226448367039362
households,866,pca,132.2484342409998,110,94,3.247949560483297,0.9348565538724264,0.6447543402512869,0.08294140671690305,0.08406101912260056,0.12808877974748611,0.019490773634364206,0.06526474157969157,0.10502356166640918,0.12653610731164613
households,12,pca,143.7925462809999,119,103,3.2143026987711587,0.9139264027277628,0.6055169105529785,0.0972413644194603,0.08882385989030202,0.13867112745841345,0.019467486223826807,0.06837569922208786,0.09681789080301921,0.15908795843521753
households,4,pca,156.7198914419996,132,116,3.1664606730143228,0.9081492821375529,0.6108914216359457,0.10487620656689008,0.10875329375267029,0.09614267076055209,0.021611217719813187,0.06981376931071281,0.07355987963577111,0.15784794837236404
air,0,pca,189.52881939100007,141,128,5.684225034713745,1.4174733757972717,0.9821903526782989,0.09444024041295052,0.090039823949337,0.1847575582563877,0.060127401165664195,0.07196450233459473,0.08071839734911919,0.14449365958571433
air,42,pca,185.2835366449999,141,125,5.665165185928345,1.392769718170166,0.9173626482486725,0.09500016719102859,0.09328828230500222,0.19187499284744264,0.0529436495155096,0.0707377888262272,0.07116101160645485,0.15049233734607698
air,866,pca,143.832659574,109,93,5.36976957321167,1.3429933071136475,0.8102434635162353,0.09718216881155968,0.09047171659767628,0.1984197348356247,0.053815627843141554,0.07136819511651993,0.07482255883514881,0.16017723232507705
air,12,pca,129.15848800999993,98,82,5.705079793930054,1.4187563896179198,0.9227903306484222,0.09861351028084755,0.09606674537062646,0.20885602086782457,0.05949541442096233,0.07144352756440639,0.08708407059311866,0.15534849762916564
air,4,pca,158.3669746380001,120,104,5.663145065307617,1.42367582321167,0.9526804625988007,0.09782660603523255,0.0915824867784977,0.1997890591621399,0.059289892017841336,0.07398252859711647,0.07974688448011875,0.1475577175617218
births1,0,pca,127.26376354500007,100,84,1.3956681132316588,0.69995898604393,0.8386898815631867,0.08327502757310867,0.08461162298917771,0.10114392563700676,0.10183837339282036,0.07740093022584915,0.1534670189023018,0.0756860613822937
births1,42,pca,211.81968571800007,168,152,1.1133386731147765,0.7091735482215882,0.8522042036056519,0.07295370884239674,0.07112480215728283,0.12059318870306016,0.11857318207621574,0.0734308522194624,0.21216463148593903,0.0699897300451994
births1,866,pca,170.49489797700062,129,113,1.2475114822387696,0.7182755708694458,0.8454551339149475,0.07275066673755645,0.06833712048828602,0.10234039872884751,0.10392735451459885,0.07134229168295861,0.2150639072060585,0.06442393809556961
births1,12,pca,207.96944372600046,157,141,1.1067714869976044,0.6993768095970154,0.8143328905105591,0.08095856308937073,0.08326945602893829,0.11121024563908577,0.11212776228785515,0.08351772576570511,0.19335388541221618,0.07370486594736576
births1,4,pca,157.67089483399923,119,103,1.2985925853252411,0.721750944852829,0.8676077783107757,0.07130961678922176,0.07500071227550506,0.10951499491930008,0.1101033441722393,0.07282500267028809,0.20411363691091539,0.05924447998404503
births2,0,pca,208.36705411399998,150,134,-3.729302096366882,0.9491071224212646,1.0423837721347808,0.17057744711637496,0.048407765850424764,0.07437170036137104,0.05578143298625946,0.12131151854991913,0.35410243570804595,0.13221365213394165
