data_name,tau,prerank,pce,nll,energy
households,50,marginal,0.02887998955945174,3.4285808404286704,0.9655281901359558
households,100,marginal,0.030123402054111164,3.4129899740219116,0.9598544836044312
households,150,marginal,0.03186782325307528,3.312864065170288,0.9528959890206655
households,200,marginal,0.03243202312539021,3.4606300592422485,0.9597694575786591
households,300,marginal,0.028457308188080788,3.2997994422912598,0.9696102738380432
households,50,mean,0.022437375970184803,3.5446937878926597,0.9680970211823782
households,100,mean,0.022734936326742172,3.4050643841425576,0.9668636123339335
households,150,mean,0.024417385924607515,3.4881611665089927,0.9705089131991068
households,200,mean,0.02129060511166851,3.489830732345581,0.9771421849727631
households,300,mean,0.02145260153338313,3.5104376872380576,0.9722342689832052
households,50,variance,0.027705770296355087,3.4283386866251626,0.9532210727532705
households,100,variance,0.02616211740920941,3.403657555580139,0.9611877699693044
households,150,variance,0.024942618794739246,3.3728412787119546,0.9678768416245779
households,200,variance,0.023993213040133316,3.3663217624028525,0.9408575594425201
households,300,variance,0.024120369149992864,3.360765298207601,0.9417777856191
households,50,dependency,0.023236348604162533,3.296340266863505,0.9531201322873434
households,100,dependency,0.022929406414429348,3.292784492174784,0.946791390577952
households,150,dependency,0.02255588211119175,3.3645501136779785,0.962947815656662
households,200,dependency,0.02691102245201667,3.305158853530884,0.9513047436873118
households,300,dependency,0.026531968265771866,3.3139925797780356,0.9427903989950815
households,50,pca,0.023944972393413384,3.4562666416168213,0.9652955333391825
households,100,pca,0.025476790654162567,3.3841957648595176,0.9692510565121969
households,150,pca,0.025264634750783443,3.396697918574015,0.966761440038681
households,200,pca,0.026989063248038292,3.3599876165390015,0.9597679674625397
households,300,pca,0.02688028880705436,3.3391510248184204,0.9703402519226074
households,50,density,0.04142161769171556,3.385814150174459,0.9448429743448893
households,100,density,0.05443257155517737,3.2994246085484824,0.9405795832475027
households,150,density,0.048362405970692635,3.397191564242045,0.956394741932551
households,200,density,0.04415515996515751,3.296669522921244,0.95102991660436
households,300,density,0.038264935836195946,3.3635239203770957,0.9604059457778931
households,50,cdf,0.033124860686560474,3.4213215510050454,0.9698134064674377
households,100,cdf,0.026871664449572563,3.245031952857971,0.9700745741526285
households,150,cdf,0.03328760713338852,3.3637940486272178,0.9660482108592987
households,200,cdf,0.0352651026720802,3.3729560375213623,0.9676584601402283
households,300,cdf,0.042436462516585984,3.318431576093038,0.9642691910266876
air,50,marginal,0.03860134221613407,5.829151439666748,1.4289326071739197
air,100,marginal,0.03914422206580639,5.828939914703369,1.4596890211105347
air,150,marginal,0.037729403004050255,5.775690031051636,1.4303742527961731
air,200,marginal,0.04203869216144085,5.989718246459961,1.445548987388611
air,300,marginal,0.03799131270498037,5.784024858474732,1.4367711782455443
air,50,mean,0.02914185542613268,5.958523607254028,1.4512975811958313
air,100,mean,0.02887635789811611,5.8276513576507565,1.4371941685676575
air,150,mean,0.029167078621685504,5.854911661148071,1.4417915105819703
air,200,mean,0.026278634555637836,5.746690511703491,1.4592818856239318
air,300,mean,0.0271824998781085,6.043296241760254,1.4508221387863158
air,50,variance,0.022172495536506177,5.956756544113159,1.469673490524292
air,100,variance,0.022322602290660142,6.034451484680176,1.4506592750549316
air,150,variance,0.02316476181149483,5.903909206390381,1.4404401063919068
air,200,variance,0.023522453475743534,5.89904260635376,1.4554992318153381
air,300,variance,0.02274959469214082,5.791586112976074,1.4184306740760804
air,50,dependency,0.027764905709773302,5.704861831665039,1.4423877477645874
air,100,dependency,0.026481113210320473,5.771773815155029,1.4211913108825684
air,150,dependency,0.028017599042505024,5.728227233886718,1.433560574054718
air,200,dependency,0.027780435793101788,5.745584487915039,1.4178049921989442
air,300,dependency,0.027634004689753057,5.685586404800415,1.4162735342979431
air,50,pca,0.04144040308892727,5.854163885116577,1.4417126893997192
air,100,pca,0.03752368222922087,5.852159023284912,1.4314846038818358
air,150,pca,0.03814105149358511,5.781575012207031,1.4609379053115845
air,200,pca,0.0419450256973505,5.813604497909546,1.4469522714614869
air,300,pca,0.033832764625549315,5.791165447235107,1.4343684673309327
air,50,density,0.04020735695958137,5.749548101425171,1.4380730509757995
air,100,density,0.040190055035054684,5.759699773788452,1.4536336660385132
air,150,density,0.03778545800596476,5.7744293212890625,1.4410831570625304
air,200,density,0.03823680393397808,5.711887359619141,1.4298952221870422
air,300,density,0.03273643022403121,5.773461580276489,1.4510939121246338
air,50,cdf,0.02671939916908741,5.827676630020141,1.457826018333435
air,100,cdf,0.029875263571739197,5.859886407852173,1.466774833202362
air,150,cdf,0.03210289366543293,5.725426864624024,1.4580875635147095
air,200,cdf,0.03127591274678707,5.847372388839721,1.4476799726486207
air,300,cdf,0.0371584864333272,5.780203533172608,1.4517836093902587
births1,50,marginal,0.027674070745706558,1.2852631211280823,0.7138339936733246
births1,100,marginal,0.027808761037886143,1.4240580558776856,0.7044161677360534
births1,150,marginal,0.027475136704742907,1.1895582914352416,0.7231636881828308
births1,200,marginal,0.028042982518672942,1.3460241436958313,0.7250190734863281
births1,300,marginal,0.025907039269804956,1.3423303961753845,0.7108605623245239
births1,50,mean,0.03429259760305285,1.2747122764587402,0.7243779599666595
births1,100,mean,0.027605637162923812,1.5264841437339782,0.722768759727478
births1,150,mean,0.029098935425281525,1.5126897931098937,0.731831294298172
births1,200,mean,0.03018149035051465,1.1861607432365417,0.7308321952819824
births1,300,mean,0.030380968656390905,1.1496607840061188,0.7242019832134247
births1,50,variance,0.02468502502888441,1.2970037817955018,0.6993823289871216
births1,100,variance,0.02717488370835781,2.117197108268738,0.7050766110420227
births1,150,variance,0.0264025816693902,2.099080240726471,0.6937035143375396
births1,200,variance,0.026800024695694445,1.5213355541229248,0.7064654707908631
births1,300,variance,0.026545330695807935,1.4952144265174865,0.7030826508998871
