Depthm,Salnty,T_degC
0,33.44,10.5
8,33.44,10.46
10,33.437,10.46
19,33.42,10.45
20,33.421,10.45
30,33.431,10.45
39,33.44,10.45
50,33.424,10.24
58,33.42,10.06
75,33.494,9.86
78,33.51,9.83
100,33.58,9.67
117,33.64,9.5
125,33.689,9.32
150,33.847,8.76
152,33.86,8.71
200,33.876,8.53
221,,8.45
250,33.926,8.26
285,33.98,7.96
300,33.99,7.77
373,34.04,6.8
400,34.056,6.55
500,34.113,5.78
598,34.16,5.3
600,34.161,5.29
700,34.21,5.01
800,34.261,4.72
896,34.31,4.44
0,32.95,10.1
10,32.94,9.89
20,32.939,9.75
24,32.95,9.69
30,33.013,9.52
47,33.24,9.06
50,33.272,9.04
71,33.46,8.92
75,33.488,8.83
94,33.6,8.37
100,33.631,8.26
125,33.745,7.85
140,33.8,7.64
150,33.833,7.5
189,33.93,6.98
200,33.939,6.85
250,33.943,6.32
282,33.95,6.05
300,33.957,5.95
379,34.0,5.6
400,34.016,5.5
500,34.101,5.02
565,34.16,4.74
600,34.188,4.62
700,34.259,4.33
800,34.319,4.08
840,34.34,3.99
900,34.354,3.85
1000,34.378,3.62
1100,34.403,3.38
1200,34.429,3.15
1203,34.43,3.14
0,32.63,10.2
10,32.66,10.05
20,32.66,9.95
22,32.66,9.94
30,32.673,9.92
38,32.68,9.87
49,32.75,9.62
50,32.736,9.66
55,32.66,9.9
73,32.74,9.65
75,32.765,9.62
99,33.12,9.23
100,33.132,9.21
125,33.398,8.79
150,33.605,8.37
191,33.82,7.71
200,33.844,7.58
250,33.926,6.93
290,33.93,6.47
300,33.941,6.37
400,34.041,5.54
488,34.11,5.02
500,34.113,4.97
600,34.135,4.59
700,34.151,4.31
789,34.16,4.14
800,34.169,4.11
900,34.252,3.89
1000,34.336,3.66
1100,34.421,3.43
1134,34.45,3.35
0,32.68,10.4
8,32.7,10.22
10,32.694,10.2
19,32.66,10.14
20,32.657,10.14
30,32.641,10.07
40,,9.97
50,32.699,9.72
62,32.79,9.42
75,32.967,9.32
84,33.1,9.27
100,33.286,9.02
125,33.533,8.6
127,33.55,8.56
150,33.746,8.32
164,33.84,8.18
200,33.863,7.71
242,33.89,7.16
250,33.893,7.08
300,33.91,6.61
329,33.75,6.38
400,33.955,5.79
492,34.0,5.14
500,34.01,5.1
600,34.128,4.65
700,34.245,4.31
739,34.29,4.21
800,34.309,4.07
900,34.34,3.83
1000,34.372,3.59
1085,34.4,3.39
0,32.75,10.5
8,32.75,10.52
10,32.748,10.51
19,32.74,10.48
20,32.74,10.47
30,32.737,10.34
37,,10.2
50,32.738,9.85
55,32.74,9.7
71,32.74,9.29
75,32.791,9.2
100,33.42,9.35
125,33.565,8.28
128,33.62,8.24
150,33.724,7.95
191,33.78,7.5
200,33.807,7.42
250,33.938,6.98
255,33.95,6.94
300,33.988,6.54
380,34.0,5.86
400,34.012,5.77
500,34.075,5.3
600,34.141,4.83
700,34.211,4.36
755,34.25,4.1
0,32.88,11.6
9,32.86,11.69
10,32.86,11.69
20,32.86,11.66
23,32.86,11.64
30,32.863,11.64
47,32.88,11.64
50,32.882,11.61
71,32.9,11.36
75,32.927,11.18
94,33.1,10.2
100,33.165,9.9
125,33.425,8.83
141,33.58,8.29
150,33.638,8.11
187,33.8,7.65
200,33.833,7.5
250,33.916,6.98
279,33.93,6.72
300,33.944,6.54
377,33.98,5.96
400,33.996,5.78
500,34.073,5.09
568,34.13,4.68
600,34.154,4.54
700,34.225,4.17
800,34.286,3.88
846,34.31,3.78
900,34.321,3.67
1000,34.342,3.48
1100,34.363,3.28
1200,34.385,3.08
1300,34.408,2.88
1352,34.42,2.78
0,33.17,12.5
8,33.24,12.66
10,33.212,12.66
20,33.057,12.64
21,33.04,12.64
30,33.068,12.64
43,33.17,12.64
50,33.159,12.64
65,33.13,12.63
75,33.158,12.64
87,33.22,12.66
100,33.283,12.52
125,33.383,11.94
130,33.4,11.77
150,33.42,10.84
172,33.44,9.73
200,33.518,8.9
250,33.672,7.75
254,33.86,8.16
300,33.828,7.03
341,33.95,6.76
400,33.932,6.07
500,33.942,5.21
514,33.8,5.12
600,33.996,4.71
700,34.086,4.38
747,34.14,4.28
800,34.166,4.14
900,34.217,3.89
1000,34.268,3.63
1100,34.32,3.37
1200,34.374,3.11
1212,34.38,3.08
0,33.13,12.2
7,32.92,12.22
10,32.9,12.22
19,32.84,12.23
20,32.842,12.23
30,32.858,12.23
37,,12.23
50,32.891,12.21
55,32.9,12.2
74,33.04,12.24
75,33.042,12.25
100,33.096,12.49
111,33.12,12.6
125,33.164,11.74
150,33.293,9.91
151,33.3,9.83
200,33.66,8.3
217,33.77,8.06
250,33.874,7.61
291,33.93,7.21
300,33.934,7.1
400,33.934,5.93
443,33.91,5.49
500,33.936,5.13
600,33.993,4.67
681,34.05,4.44
700,34.061,4.39
800,34.12,4.11
900,34.179,3.84
1000,34.24,3.56
1016,34.25,3.52
0,32.97,12.0
9,32.94,8.86
10,32.94,12.0
20,32.94,11.99
22,32.94,11.99
30,32.963,11.99
44,33.01,12.0
50,33.0,11.95
67,32.95,11.7
75,32.983,11.57
90,33.08,11.2
100,33.15,10.67
125,33.356,9.36
134,33.44,8.88
150,33.585,8.56
174,33.78,8.31
200,33.806,7.98
246,33.95,
250,33.952,7.38
300,33.946,6.86
319,33.98,6.68
400,33.98,5.94
479,33.98,5.34
500,33.996,5.22
600,34.082,4.73
700,34.18,4.37
719,34.2,4.32
800,34.229,4.11
900,34.266,3.84
1000,34.304,3.58
1100,34.343,3.32
1144,34.36,3.2
0,32.88,11.7
8,32.84,11.62
10,32.84,11.61
19,32.84,11.58
20,32.838,11.58
30,32.821,11.58
39,32.81,11.58
50,32.847,11.56
59,32.88,11.54
75,32.827,11.31
79,32.81,11.23
100,32.936,10.82
120,33.12,10.36
125,33.147,10.21
150,33.284,9.49
162,33.35,9.16
200,33.665,8.71
240,33.95,8.49
250,33.951,8.39
300,33.957,7.91
326,33.96,7.66
400,34.03,6.99
491,34.13,6.24
500,34.134,6.17
600,34.166,5.48
700,34.18,4.89
734,34.18,4.72
800,34.198,4.53
900,34.226,4.23
1000,34.255,3.94
1100,34.285,3.65
1178,34.31,3.42
0,32.77,11.5
8,32.84,11.5
10,32.843,11.5
20,32.858,11.5
21,32.86,11.5
30,32.81,11.52
41,32.75,11.53
50,32.769,11.49
62,32.83,11.42
75,32.908,11.4
82,32.95,11.37
100,32.983,11.13
123,33.04,10.63
125,33.058,10.56
150,33.302,9.73
167,33.49,9.17
200,33.706,8.66
