@relation TEST
@attribute timeunit NUMERIC
@attribute storageCost NUMERIC
@attribute interestRate NUMERIC
@attribute compidx0lt2 NUMERIC
@attribute compidx4lt2 NUMERIC
@attribute compidx6lt2 NUMERIC
@attribute compidx8lt2 NUMERIC
@attribute compidx10lt2 NUMERIC
@attribute compidx12lt2 NUMERIC
@attribute compidx14lt2 NUMERIC
@attribute compidx0lt6 NUMERIC
@attribute compidx4lt6 NUMERIC
@attribute compidx6lt6 NUMERIC
@attribute compidx8lt6 NUMERIC
@attribute compidx10lt6 NUMERIC
@attribute compidx12lt6 NUMERIC
@attribute compidx14lt6 NUMERIC
@attribute compidx0lt10 NUMERIC
@attribute compidx4lt10 NUMERIC
@attribute compidx6lt10 NUMERIC
@attribute compidx8lt10 NUMERIC
@attribute compidx10lt10 NUMERIC
@attribute compidx12lt10 NUMERIC
@attribute compidx14lt10 NUMERIC
@attribute compidx0lt20 NUMERIC
@attribute compidx4lt20 NUMERIC
@attribute compidx6lt20 NUMERIC
@attribute compidx8lt20 NUMERIC
@attribute compidx10lt20 NUMERIC
@attribute compidx12lt20 NUMERIC
@attribute compidx14lt20 NUMERIC
@attribute compidx0lt30 NUMERIC
@attribute compidx4lt30 NUMERIC
@attribute compidx6lt30 NUMERIC
@attribute compidx8lt30 NUMERIC
@attribute compidx10lt30 NUMERIC
@attribute compidx12lt30 NUMERIC
@attribute compidx14lt30 NUMERIC
@attribute sku1 NUMERIC
@attribute sku10 NUMERIC
@attribute sku11 NUMERIC
@attribute sku12 NUMERIC
@attribute sku13 NUMERIC
@attribute sku14 NUMERIC
@attribute sku15 NUMERIC
@attribute sku16 NUMERIC
@attribute demandseg1 NUMERIC
@attribute demandseg1l1 NUMERIC
@attribute demandseg1l2 NUMERIC
@attribute demandseg1l4 NUMERIC
@attribute demandseg1l8 NUMERIC
@attribute demandseg2 NUMERIC
@attribute demandseg2l1 NUMERIC
@attribute demandseg2l2 NUMERIC
@attribute demandseg2l4 NUMERIC
@attribute demandseg2l8 NUMERIC
@attribute demandseg3 NUMERIC
@attribute demandseg3l1 NUMERIC
@attribute demandseg3l2 NUMERIC
@attribute demandseg3l4 NUMERIC
@attribute demandseg3l8 NUMERIC
@attribute LBL NUMERIC
@attribute MTLp2A NUMERIC
@attribute MTLp3A NUMERIC
@attribute MTLp4A NUMERIC
@attribute MTLp5A NUMERIC
@attribute MTLp6A NUMERIC
@attribute MTLp7A NUMERIC
@attribute MTLp8A NUMERIC
@attribute MTLp9A NUMERIC
@attribute MTLp10A NUMERIC
@attribute MTLp11A NUMERIC
@attribute MTLp12A NUMERIC
@attribute MTLp13A NUMERIC
@attribute MTLp14A NUMERIC
@attribute MTLp15A NUMERIC
@attribute MTLp16A NUMERIC

@data
    9.000,   27.000,    8.000,  881.606,  276.589,  283.096,  113.193,  108.831,  247.377,  228.541,  805.808,  261.186,  260.124,  107.174,  104.169,  220.000,  187.000,  779.674,  248.403,  251.945,  103.234,   99.310,  228.895,  230.470,  761.782,  235.483,  219.909,   95.677,   92.096,  227.424,  223.939,  686.881,  212.429,  199.925,   87.151,   79.728,  200.000,  208.103, 1339.000, 1713.000, 1697.000, 1897.000, 2200.000, 2151.000, 1980.000, 2206.000,   73.000,   77.000,   82.000,   74.000,   77.000,  129.000,  119.000,  120.000,  114.000,   97.000,   50.000,   29.000,   40.000,   41.000,   42.000, 1424.000, 1519.000, 1507.000, 1581.000, 1879.000, 1776.000, 1747.000, 1905.000, 1414.000, 1336.000, 1409.000, 1535.000, 1795.000, 1871.000, 1783.000, 1649.000
   10.000,   27.000,    8.000,  869.455,  288.277,  271.252,  116.232,  109.822,  250.485,  222.397,  782.329,  263.345,  247.000,  108.034,  104.279,  223.564,  186.265,  735.118,  247.802,  238.515,  102.000,   99.000,  227.404,  209.319,  749.831,  227.711,  217.756,   96.972,   89.052,  220.214,  210.330,  682.734,  210.646,  197.938,   87.268,   79.292,  200.710,  204.613, 1576.000, 1806.000, 1672.000, 1681.000, 2010.000, 2127.000, 1980.000, 2206.000,   87.000,   73.000,   77.000,   59.000,   84.000,  113.000,  129.000,  119.000,  116.000,  125.000,   43.000,   50.000,   29.000,   36.000,   35.000, 1432.000, 1688.000, 1532.000, 1639.000, 1904.000, 1841.000, 1794.000, 2060.000, 1270.000, 1404.000, 1405.000, 1486.000, 1786.000, 2077.000, 1803.000, 1650.000
   11.000,   27.000,    8.000,  850.916,  288.429,  271.573,  116.703,  108.636,  252.319,  218.822,  749.276,  263.480,  248.751,  107.918,  102.388,  228.248,  188.032,  745.197,  249.000,  237.905,  103.946,   99.425,  233.000,  208.000,  744.457,  222.267,  215.818,   95.839,   88.747,  219.231,  205.188,  678.179,  204.937,  191.851,   86.078,   79.383,  200.074,  201.357, 1600.000, 1755.000, 1623.000, 1848.000, 2285.000, 2259.000, 2052.000, 2160.000,   91.000,   87.000,   73.000,   82.000,   78.000,  120.000,  113.000,  129.000,  120.000,  116.000,   47.000,   43.000,   50.000,   40.000,   46.000, 1391.000, 1612.000, 1547.000, 1599.000, 1977.000, 1853.000, 1774.000, 1876.000, 1397.000, 1444.000, 1400.000, 1505.000, 1871.000, 2050.000, 1751.000, 1653.000
   12.000,   27.000,    8.000,  862.066,  290.866,  268.637,  117.098,  109.253,  257.071,  204.266,  727.000,  262.200,  243.574,  107.524,  102.493,  234.829,  170.000,  753.944,  248.430,  234.043,  102.099,   98.563,  239.000,  214.000,  738.174,  216.000,  208.000,   95.855,   88.714,  219.734,  204.153,  676.905,  196.081,  189.726,   85.696,   78.562,  201.139,  200.264, 1644.000, 1755.000, 1659.000, 1779.000, 2016.000, 2295.000, 2052.000, 2173.000,   78.000,   91.000,   87.000,   77.000,   61.000,  111.000,  120.000,  113.000,  119.000,  103.000,   40.000,   47.000,   43.000,   29.000,   34.000, 1424.000, 1544.000, 1414.000, 1558.000, 1937.000, 1879.000, 1760.000, 1820.000, 1315.000, 1477.000, 1419.000, 1546.000, 1833.000, 2070.000, 1798.000, 1645.000
   13.000,   27.000,    8.000,  842.781,  278.185,  270.078,  116.822,  105.997,  257.858,  213.514,  734.892,  253.900,  244.836,  107.527,   99.506,  235.629,  189.429,  772.585,  251.697,  231.204,  101.000,   98.998,  240.677,  217.186,  737.744,  216.629,  208.325,   90.000,   85.000,  221.022,  205.675,  678.493,  199.775,  190.000,   85.716,   78.186,  201.787,  203.162, 1580.000, 1728.000, 1557.000, 1899.000, 2471.000, 2238.000, 2052.000, 2261.000,   62.000,   78.000,   91.000,   73.000,   74.000,  120.000,  111.000,  120.000,  129.000,  114.000,   41.000,   40.000,   47.000,   50.000,   41.000, 1444.000, 1536.000, 1499.000, 1598.000, 1915.000, 1854.000, 1780.000, 1846.000, 1435.000, 1412.000, 1305.000, 1455.000, 1847.000, 2024.000, 1775.000, 1646.000
   14.000,   27.000,    8.000,  844.648,  277.657,  270.083,  115.315,  106.777,  238.363,  224.662,  750.707,  256.512,  245.284,  103.000,  100.000,  226.055,  207.236,  779.000,  253.000,  223.000,  101.247,   99.152,  240.195,  222.046,  712.000,  219.829,  208.978,   92.330,   86.132,  218.930,  210.081,  675.378,  201.520,  191.076,   87.268,   81.045,  200.000,  210.000, 1557.000, 1776.000, 1654.000, 1696.000, 2110.000, 2271.000, 2052.000, 2172.000,   82.000,   62.000,   78.000,   87.000,   59.000,  112.000,  120.000,  111.000,  113.000,  116.000,   42.000,   41.000,   40.000,   43.000,   36.000, 1413.000, 1382.000, 1404.000, 1373.000, 1923.000, 1864.000, 1746.000, 1825.000, 1232.000, 1394.000, 1295.000, 1446.000, 1778.000, 1895.000, 1588.000, 1632.000
   15.000,   27.000,    8.000,  837.335,  279.112,  266.100,  115.498,  107.246,  242.379,  226.080,  751.593,  256.652,  239.000,  104.103,  100.369,  228.158,  212.684,  778.000,  252.227,  224.676,  100.965,   98.331,  235.988,  212.685,  722.364,  217.802,  208.829,   91.561,   87.000,  218.804,  210.545,  684.782,  200.319,  191.983,   87.278,   82.877,  202.360,  210.428, 1557.000, 1633.000, 1607.000, 1696.000, 2005.000, 2271.000, 2125.000, 2096.000,   76.000,   82.000,   62.000,   91.000,   82.000,  119.000,  112.000,  120.000,  120.000,  120.000,   41.000,   42.000,   41.000,   47.000,   40.000, 1409.000, 1397.000, 1395.000, 1377.000, 1893.000, 1811.000, 1755.000, 1819.000, 1303.000, 1442.000, 1380.000, 1482.000, 1916.000, 1855.000, 1599.000, 1625.000
   16.000,   27.000,    8.000,  850.068,  282.672,  264.887,  117.468,  110.221,  251.105,  230.839,  784.943,  261.993,  237.086,  106.361,  101.489,  237.323,  220.233,  791.321,  254.099,  224.998,  105.000,   98.000,  240.961,  221.368,  731.446,  219.496,  206.922,   96.000,   88.466,  220.512,  213.487,  693.495,  208.995,  194.739,   91.000,   82.000,  205.170,  213.455, 1459.000, 1691.000, 1649.000, 1594.000, 2005.000, 1965.000, 2125.000, 2096.000,   75.000,   76.000,   82.000,   78.000,   77.000,  111.000,  119.000,  112.000,  111.000,  119.000,   32.000,   41.000,   42.000,   40.000,   29.000, 1455.000, 1401.000, 1439.000, 1482.000, 1930.000, 1808.000, 1833.000, 1819.000, 1336.000, 1443.000, 1338.000, 1410.000, 1910.000, 1923.000, 1578.000, 1624.000
   17.000,   27.000,    8.000,  853.828,  284.573,  268.321,  118.106,  112.203,  255.573,  211.796,  796.870,  264.892,  239.265,  107.793,  103.249,  227.000,  197.000,  775.134,  252.000,  230.000,  104.000,  100.000,  234.385,  230.331,  721.079,  216.947,  208.284,   96.939,   89.965,  220.731,  216.709,  695.970,  209.696,  196.792,   91.019,   83.711,  206.339,  216.592, 1459.000, 1673.000, 1505.000, 1837.000, 1822.000, 2024.000, 2125.000, 2096.000,   73.000,   75.000,   76.000,   62.000,   73.000,  107.000,  111.000,  119.000,  120.000,  129.000,   38.000,   32.000,   41.000,   41.000,   50.000, 1418.000, 1625.000, 1470.000, 1408.000, 1888.000, 1835.000, 1686.000, 1918.000, 1333.000, 1443.000, 1302.000, 1399.000, 1850.000, 1866.000, 1581.000, 1624.000
   18.000,   27.000,    8.000,  841.693,  287.385,  258.295,  117.503,  108.747,  256.794,  214.212,  794.000,  267.857,  233.091,  108.131,  100.613,  236.307,  208.560,  776.341,  255.865,  230.513,  104.006,  100.132,  233.200,  240.858,  725.760,  221.386,  212.593,   93.946,   93.125,  213.704,  217.847,  698.629,  210.932,  200.541,   91.307,   85.356,  208.494,  218.868, 1531.000, 1684.000, 1450.000, 1627.000, 1822.000, 2117.000, 2110.000, 1968.000,   78.000,   73.000,   75.000,   82.000,   87.000,  110.000,  107.000,  111.000,  112.000,  113.000,   35.000,   38.000,   32.000,   42.000,   43.000, 1362.000, 1568.000, 1443.000, 1434.000, 1821.000, 1855.000, 1683.000, 1908.000, 1406.000, 1455.000, 1325.000, 1407.000, 1721.000, 1880.000, 1585.000, 1624.000
