epoch,step,train/loss_term,train/pce_val,train/raw_reg,train/total_loss,val/loss_term,val/pce_val,val/raw_reg,val/total_loss
0,0,,,,,2.764291524887085,0.21712692081928253,0.21459364891052246,2.9788851737976074
0,0,4.98706579208374,0.24624408781528473,0.24464008212089539,5.231705665588379,,,,
1,1,,,,,2.7604105472564697,0.2162664383649826,0.21858981251716614,2.9790005683898926
1,1,4.374938011169434,0.23359020054340363,0.2286103069782257,4.603548526763916,,,,
2,2,,,,,2.7566356658935547,0.2129693180322647,0.21272972226142883,2.969365358352661
2,2,4.904338836669922,0.2381632775068283,0.23531202971935272,5.139650821685791,,,,
3,3,,,,,2.752990961074829,0.2152915745973587,0.21465317904949188,2.967644214630127
3,3,4.114595413208008,0.24061080813407898,0.23896238207817078,4.353557586669922,,,,
4,4,,,,,2.7495357990264893,0.215046688914299,0.2116096019744873,2.9611456394195557
4,4,5.115213871002197,0.2331964075565338,0.23080046474933624,5.346014499664307,,,,
5,5,,,,,2.745983123779297,0.2126500904560089,0.2110646814107895,2.957047700881958
5,5,4.0559821128845215,0.24737688899040222,0.24483534693717957,4.300817489624023,,,,
6,6,,,,,2.742333173751831,0.21371354162693024,0.20977289974689484,2.95210599899292
6,6,4.838688850402832,0.2356995791196823,0.22908072173595428,5.067769527435303,,,,
7,7,,,,,2.7384777069091797,0.21477606892585754,0.21542693674564362,2.953904628753662
7,7,2.9762885570526123,0.24452532827854156,0.24303150177001953,3.219320058822632,,,,
